mod_id,mod_description,mod_type,regulations,loi,aircraft_type
MOD0001,Upgrade of navigation database software,Avionics,"CS 25.1309, AMC 20-151",Low,A350
MOD0002,Installation of dual vhf antennas on fuselage,Avionics,"CS 25.1431, AMC 20-115",Low,E170
MOD0003,Upgrade of navigation database software with improved signal processing capabilities,Avionics,"CS 25.1431, AMC 20-115",Low,B767
MOD0004,Integration of ads-b out system,Avionics,"CS 25.1431, AMC 20-115",Low,B737
MOD0005,Upgrade of navigation database software for enhanced navigation accuracy,Avionics,"CS 25.1309, AMC 20-151, AMC 20-115",High,A321
MOD0006,Integration of ads-b out system with improved signal processing capabilities,Avionics,"CS 25.1431, AMC 20-22",High,A321
MOD0007,Integration of ads-b out system for enhanced navigation accuracy,Avionics,"CS 25.1431, AMC 20-22",Medium,A320
MOD0008,Installation of dual vhf antennas on fuselage with improved signal processing capabilities,Avionics,"CS 25.1431, AMC 20-115",Medium,CRJ700
MOD0009,Upgrade of navigation database software including electromagnetic interference shielding,Avionics,"CS 25.1431, AMC 20-115",Medium,B737
MOD0010,Upgrade of navigation database software with software version v5.2 compliance,Avionics,"CS 25.1309, AMC 20-151",Low,B767
MOD0011,Upgrade of navigation database software featuring redundant backup systems,Avionics,"CS 25.1431, AMC 20-115",Medium,A320
MOD0012,Installation of dual vhf antennas on fuselage for enhanced navigation accuracy,Avionics,"CS 25.1309, AMC 20-151, AMC 20-115",High,E170
MOD0013,Installation of dual vhf antennas on fuselage including electromagnetic interference shielding,Avionics,"CS 25.1309, AMC 20-151, AMC 20-115",High,B787
MOD0014,Upgrade of navigation database software with enhanced cybersecurity protocols,Avionics,"CS 25.1309, AMC 20-151, AMC 20-115",High,A321
MOD0015,Integration of ads-b out system including electromagnetic interference shielding,Avionics,"CS 25.1309, AMC 20-151, AMC 20-115",High,A321
MOD0016,Installation of dual vhf antennas on fuselage with software version {version} compliance,Avionics,"CS 25.1431, AMC 20-22",High,A321
MOD0017,Installation of dual vhf antennas on fuselage featuring redundant backup systems,Avionics,"CS 25.1431, AMC 20-115",Low,A330
MOD0018,Upgrade of navigation database software for oceanic flight operations,Avionics,"CS 25.1431, AMC 20-115",Medium,B737
MOD0019,Integration of ads-b out system with software version {version} compliance,Avionics,"CS 25.1431, AMC 20-115",Low,A350
MOD0020,Upgrade of navigation database software including weather radar integration,Avionics,"CS 25.1431, AMC 20-22",Medium,A330
MOD0022,Integration of ads-b out system featuring redundant backup systems,Avionics,"CS 25.1431, AMC 20-115",Low,A321
MOD0025,Installation of dual vhf antennas on fuselage with enhanced cybersecurity protocols,Avionics,"CS 25.1309, AMC 20-130",Medium,A380
MOD0026,Integration of ads-b out system with enhanced cybersecurity protocols,Avionics,"CS 25.1431, AMC 20-22",High,B777
MOD0028,Installation of dual vhf antennas on fuselage for oceanic flight operations,Avionics,"CS 25.1309, AMC 20-151, AMC 20-115",High,B737
MOD0029,Installation of dual vhf antennas on fuselage including weather radar integration,Avionics,"CS 25.1309, AMC 20-151",Low,B737
MOD0031,Integration of ads-b out system for oceanic flight operations,Avionics,"CS 25.1309, AMC 20-151",Low,B737
MOD0034,Integration of ads-b out system including weather radar integration,Avionics,"CS 25.1431, AMC 20-115",Low,E170
MOD0101,Installation of new in-flight entertainment screens,Cabin,"CS 25.812, AMC 25-17",High,A320
MOD0102,Refurbishment of seat upholstery with flame-retardant materials,Cabin,"CS 25.853, CS 25.812",Low,B747
MOD0103,Installation of new in-flight entertainment screens improving passenger comfort and experience,Cabin,"CS 25.783, CS 25.807",Low,A330
